block	length_Mb	pi_block	pi_fold	tajD_block	tajD_chrom	cds_frac	genes_per_Mb	genes_per_Mb_chrom	div_ratio_min	div_ratio_max
chr1:24.0–31.3	7.3	0.0212418926853687	2.844753295069574	-1.7701691156558534	-2.214182	0.0005157968970380817	1.7808219178082192	6.050029086678301	2.202785175262893	2.373934522887758
chr6:12.0–18.9	6.9	0.017835497862905128	2.2796123139369655	-1.5777162857142857	-2.173787	0.0002443650793650794	1.7391304347826086	6.785170137125444	1.257197291840456	1.338133444089554
chr6:19.3–23.2	3.9	0.018898891179969655	2.4155280320611197	-1.5624700190476188	-2.173787	0.000552063492063492	1.794871794871795	6.785170137125444	1.2709335013453322	1.3173249142791186
chr8:29.7–35.5	5.8	0.017672607279550286	2.3173366579884678	-1.9676785823223573	-2.224348	7.999999999999999e-05	1.7241379310344829	5.425444274449806	1.974888460939908	2.1204188660741727
chr9:27.2–29.9	2.7	0.02690620588801354	3.5752703990564743	-1.1236134923076921	-2.116822	0.0015634615384615383	2.222222222222222	6.545119328075387	3.011104588039333	3.1863351057666014
chr10:66.7–69.4	2.7	0.017685533394889236	2.1414219075397316	-2.058127332089552	-2.256412	0.0	0.37037037037037035	5.209988649262202	1.4614400269507932	1.533855096112711
chr11:44.1–45.5	1.4	0.015268628098740383	2.120352520160278	-1.825115928571429	-2.1507804999999998	9.771428571428572e-05	2.142857142857143	8.375497900742815	1.4752945132262665	1.5341580145658729
chr13:33.5–39.0	5.5	0.024070411691019915	2.7367798138744437	-1.7941421018181818	-2.189177	0.0017007272727272728	3.090909090909091	5.522788203753351	2.4987416641287714	2.7885736977077418
chr21:0.0–9.4	9.4	0.024103198706903185	2.5883281019349957	-1.3865039618696184	-1.936103	8.94710947109471e-05	1.702127659574468	6.358599848904558	2.2202911867470743	2.487681279653663
chr21:74.4–79.4	5.0	0.023220571420647745	2.493546947104484	-1.4226755704387992	-1.936103	0.0001287759815242494	2.0	6.358599848904558	2.087831000035122	2.3019349635481654
chr23:0.1–5.6	5.5	0.04285479612841185	4.341677894039165	-0.9606670703422053	-2.037532	0.000418022813688213	2.1818181818181817	5.758733624454148	3.939678991533994	4.434480172376321
chr23:62.4–65.3	2.9	0.023065340809332743	2.3367811623765284	-1.6776967346153846	-2.037532	0.00022061538461538464	2.7586206896551726	5.758733624454148	1.276699689188935	1.3329668988577894
chr23:65.7–67.7	2.0	0.022796510193901606	2.3095455657641697	-1.7322856052631581	-2.037532	3.842105263157895e-05	1.5	5.758733624454148	1.2348086805163625	1.270463198530844
chr25:61.4–63.8	2.4	0.022883913560373746	2.7946584245904202	-1.5665801095890413	-2.1688555000000003	0.00038575342465753425	2.916666666666667	6.2157221206581355	2.679728647308691	2.8608126750718306
chr29:34.4–40.7	6.3	0.022576792960292722	2.614461469654568	-1.414197155	-1.9704715	0.00043226666666666664	2.0634920634920637	7.935866343303692	2.435175311564404	2.7881350679278816
chr30:17.3–18.5	1.2	0.057067571870809713	6.070765344805852	-0.6878324224137932	-2.1650634999999996	0.00016741379310344828	2.5	6.430155210643015	5.774008921671293	6.171250691982239
chr34:29.9–44.7	14.8	0.02755247222265167	2.6338984077768206	-1.4500506970128022	-1.946317	7.130867709815078e-05	1.8243243243243243	5.238633154476137	2.1950907127993564	2.4278933053557696
chr35:59.7–65.1	5.4	0.033051002425778776	3.4047375522246286	-1.4721601287313435	-2.1305310000000004	8.82462686567164e-05	1.8518518518518545	6.863196683555966	3.2134927308074843	3.515550109269729
chr38:19.0–31.8	12.8	0.031823249212734606	2.7570783769727623	-1.4066453798521257	-1.968515	0.0002104066543438078	2.1875	5.226088181434005	2.7034116958748884	3.0768850272949084
chr38:61.5–68.0	6.5	0.04761755876321402	4.125453713184988	-1.0846118786231884	-1.968515	0.00029557971014492753	2.6153846153846154	5.226088181434005	4.108497069016607	5.07578230940355
chr43:45.7–61.6	15.9	0.02874916040146764	2.4200702825613876	-1.5240714883040938	-1.839827	0.00024953216374269004	2.20125786163522	6.764192725808615	1.8343670140941029	2.01534136421472
chr44:8.8–11.7	2.9	0.02835612825217321	2.7113859415814634	-1.2665051310344826	-1.854876	8.689655172413794e-05	1.3793103448275863	7.287314056493398	2.345029813646006	2.593602714826571
