block	length_Mb	pi_block	pi_fold	tajD_block	tajD_chrom	cds_frac	genes_per_Mb	genes_per_Mb_chrom	div_ratio_min	div_ratio_max	ratio_MQ0	cv	hifi	class
chr1:24.0–31.3	7.3	0.0212418926853687	2.844753295069574	-1.7701691156558534	-2.214182	0.000515796897038	1.7808219178082192	6.050029086678301	2.202785175262893	2.373934522887758	0.96836467078601	0.0482561462268062	1.046542367642223	elevated diversity
chr6:12.0–18.9	6.9	0.0178354978629051	2.279612313936965	-1.5777162857142857	-2.173787	0.000244365079365	1.7391304347826086	6.785170137125444	1.257197291840456	1.338133444089554	0.6156734511357745	0.1714266916958501	0.9181003534385166	under-mapped
chr6:19.3–23.2	3.9	0.0188988911799696	2.41552803206112	-1.5624700190476188	-2.173787	0.0005520634920634	1.794871794871795	6.785170137125444	1.2709335013453322	1.3173249142791186	0.664734622984748	0.1680424024529534	0.8421871991503936	under-mapped
chr8:29.7–35.5	5.8	0.0176726072795502	2.317336657988468	-1.9676785823223573	-2.224348	7.999999999999999e-05	1.7241379310344829	5.425444274449806	1.974888460939908	2.1204188660741727	0.9778007002483	0.0447396733003258	1.096244828702141	elevated diversity
chr9:27.2–29.9	2.7	0.0269062058880135	3.5752703990564743	-1.123613492307692	-2.116822	0.0015634615384615	2.222222222222222	6.545119328075387	3.011104588039333	3.1863351057666014	1.192941903839137	0.1570761079961863	1.179835753201033	collapsed duplication
chr10:66.7–69.4	2.7	0.0176855333948892	2.141421907539732	-2.058127332089552	-2.256412	0.0	0.3703703703703703	5.209988649262202	1.4614400269507932	1.533855096112711	0.9545334608143884	0.0341015342335993	1.014052371461363	elevated diversity
chr11:44.1–45.5	1.4	0.0152686280987403	2.120352520160278	-1.825115928571429	-2.1507805	9.771428571428572e-05	2.142857142857143	8.375497900742815	1.4752945132262665	1.5341580145658729	0.9680896956702228	0.0513462819242676	1.038029632545811	elevated diversity
chr13:33.5–39.0	5.5	0.0240704116910199	2.736779813874444	-1.7941421018181818	-2.189177	0.0017007272727272	3.090909090909091	5.522788203753351	2.4987416641287714	2.7885736977077418	0.930010063542384	0.0871630389634361	1.0453492462656488	elevated diversity
chr21:0.0–9.4	9.4	0.0241031987069031	2.588328101934996	-1.3865039618696184	-1.936103	8.94710947109471e-05	1.702127659574468	6.358599848904558	2.2202911867470743	2.487681279653663	0.6823308114122315	0.1515404291924973	0.6057570333856498	under-mapped
chr21:74.4–79.4	5.0	0.0232205714206477	2.493546947104484	-1.4226755704387992	-1.936103	0.0001287759815242	2.0	6.358599848904558	2.087831000035122	2.3019349635481654	0.658530072466659	0.1528390047220308	0.6053035676618954	under-mapped
chr23:0.1–5.6	5.5	0.0428547961284118	4.341677894039165	-0.9606670703422052	-2.037532	0.0004180228136882	2.1818181818181817	5.758733624454148	3.939678991533994	4.434480172376321	1.7750322385088455	0.1262208257618578	1.909965321836147	collapsed duplication
chr23:62.4–65.3	2.9	0.0230653408093327	2.3367811623765284	-1.6776967346153846	-2.037532	0.0002206153846153	2.7586206896551726	5.758733624454148	1.276699689188935	1.3329668988577894	0.8771869544148608	0.1513541015016324	1.110091815618531	under-mapped
chr23:65.7–67.7	2.0	0.0227965101939016	2.3095455657641697	-1.732285605263158	-2.037532	3.842105263157895e-05	1.5	5.758733624454148	1.2348086805163625	1.270463198530844	1.071639885339431	0.0966775009675176	1.116460562939038	elevated diversity
