block	division	pi_block	pi_flank	ratio	D_block	D_flank
chr1:24.0-31.3	3K	0.01915964216949789	0.00816784404354533	2.345740450889102	-1.1623299999999999	-1.4737520450000003
chr1:24.0-31.3	3O	0.0173151002392819	0.007860548742441676	2.202785175262893	-0.9156224305555555	-1.323290225
chr1:24.0-31.3	4R	0.018651599144946678	0.007966894016434052	2.3411381030640412	-1.0866993541666667	-1.412935675
chr1:24.0-31.3	4S	0.018605284714807307	0.007982987819001891	2.330616698489904	-0.9637907083333334	-1.2418597236180904
chr1:24.0-31.3	4T	0.01890098088007194	0.007987644181593992	2.3662772715421725	-1.0560878055555556	-1.3987629249999998
chr1:24.0-31.3	4W	0.01839350507361767	0.008119885641926174	2.2652418869848048	-1.1733875555555555	-1.565357215
chr1:24.0-31.3	4X	0.01893352915699749	0.00797559030144012	2.3739345228877586	-1.1349040416666665	-1.48334661
chr1:24.0-31.3	6A	0.018987111935908973	0.008031697154713514	2.36402239404235	-1.1449267986111111	-1.485740695
chr1:24.0-31.3	6B	0.018862080064507396	0.007962796069923688	2.368775980054474	-1.092210402777778	-1.4268662900000002
chr1:24.0-31.3	6C	0.01908148230308848	0.008278154818990135	2.305040521749539	-1.2620775416666667	-1.6486881249999998
chr10:66.7-69.4	3K	0.01643887669999804	0.010916934209619622	1.5058143966382682	-1.6590921296296297	-1.7672360518134713
chr10:66.7-69.4	3O	0.014606144077181691	0.009994350645819201	1.4614400269507932	-1.2788468888888889	-1.4458678911917098
chr10:66.7-69.4	4R	0.015944299785728006	0.010394919198127685	1.533855096112711	-1.5232537962962964	-1.630110865284974
chr10:66.7-69.4	4S	0.015698401101927998	0.010347861694393987	1.5170671550850643	-1.3556311666666672	-1.4544325906735753
chr10:66.7-69.4	4T	0.01575821140769397	0.010429033826202928	1.5109943711277927	-1.4960536666666668	-1.5982648186528496
chr10:66.7-69.4	4W	0.01622979037178656	0.010850013334804157	1.4958313755915313	-1.6802988333333333	-1.829143383419689
chr10:66.7-69.4	4X	0.015848819471119404	0.010474707273223516	1.5130560747634185	-1.5701387962962965	-1.6785421865284973
chr10:66.7-69.4	6A	0.016516607987004803	0.010927840314737395	1.51142471991747	-1.730485148148148	-1.8543598860103627
chr10:66.7-69.4	6B	0.016013769554628465	0.010470041922635167	1.5294847597513743	-1.532976185185185	-1.646120538860104
chr10:66.7-69.4	6C	0.016599109778554152	0.011196430103018242	1.482535917772532	-1.792834537037037	-1.919716202072539
chr11:44.1-45.5	3K	0.01408956104690845	0.009247622555949285	1.523587382774851	-1.0262453214285716	-1.2281711218274112
chr11:44.1-45.5	3O	0.012825359114636373	0.008693422906175578	1.4752945132262663	-0.718210892857143	-0.9724526192893401
chr11:44.1-45.5	4R	0.013734546223705377	0.009105079802214056	1.5084487475184554	-0.9670961785714285	-1.1481761319796955
chr11:44.1-45.5	4S	0.013654013064173827	0.009006025121272535	1.5160975991419998	-0.8101529999999999	-0.9738148071065991
chr11:44.1-45.5	4T	0.01366372735553146	0.009050863500096916	1.5096600844090897	-0.9034026785714288	-1.1139927868020303
chr11:44.1-45.5	4W	0.013708120379055543	0.009110549036405268	1.5046426207991006	-1.0498900714285715	-1.2962868375634518
chr11:44.1-45.5	4X	0.013927217310370874	0.00908778878533956	1.532519916488188	-1.0117832857142857	-1.2178463147208123
chr11:44.1-45.5	6A	0.013769752667608565	0.009113441402067024	1.5109278767607417	-1.0265965714285714	-1.2271225126903553
chr11:44.1-45.5	6B	0.013891412053845278	0.0090547465919123	1.5341580145658729	-0.9757770357142856	-1.156930279187817
chr11:44.1-45.5	6C	0.01371260114276932	0.009102611705208171	1.5064468953370258	-1.059147642857143	-1.278316543147208
chr13:33.5-39.0	3K	0.021948650736167148	0.008059719466979053	2.7232524439704786	-1.2814553423423418	-1.8272393249999999
chr13:33.5-39.0	3O	0.019746196328943075	0.007902456109174423	2.4987416641287714	-0.9922084954954955	-1.577873795
chr13:33.5-39.0	4R	0.021520451470467147	0.007744041967685578	2.7789688589328314	-1.2055985945945946	-1.7520740449999999
chr13:33.5-39.0	4S	0.02114318683129677	0.007790399098020686	2.714005606807569	-1.0583385315315315	-1.56856223
chr13:33.5-39.0	4T	0.021603021267181322	0.007842275813247358	2.754687769421344	-1.1633422432432434	-1.7265657499999998
chr13:33.5-39.0	4W	0.02117546988166481	0.007989569196242118	2.6503894467332056	-1.266017369369369	-1.853559855
chr13:33.5-39.0	4X	0.021876758495666268	0.00784514266689432	2.7885736977077418	-1.243488747747748	-1.8024794800000001
chr13:33.5-39.0	6A	0.02162057977014104	0.007953337522340752	2.7184285476894825	-1.2799791981981985	-1.813147795
chr13:33.5-39.0	6B	0.021451987628573553	0.007763407267387784	2.763218119277114	-1.2462285945945948	-1.773729635
chr13:33.5-39.0	6C	0.02283922244996979	0.00874850519618431	2.610642839868369	-1.4490375135135136	-2.00149675
chr21:0.0-9.4	3K	0.020736849127942478	0.00833581427715269	2.487681279653663	-0.6805420378378377	-1.3373194500000003
chr21:0.0-9.4	3O	0.018503685638770064	0.008333900413251482	2.2202911867470743	-0.49893334782608695	-1.10584917
chr21:0.0-9.4	4R	0.02028505181314569	0.008261436427492237	2.455390414388655	-0.6216871621621621	-1.22516423
chr21:0.0-9.4	4S	0.019963031858245453	0.008216101648691633	2.4297449948692456	-0.4874952173913043	-1.0776074199999999
chr21:0.0-9.4	4T	0.020162936267553958	0.008287379847685282	2.4329687595031126	-0.5994392540540541	-1.2342999200000002
chr21:0.0-9.4	4W	0.01956263839549805	0.00840530612464112	2.3274153380503217	-0.7515768097826089	-1.41372613
chr21:0.0-9.4	4X	0.020553193085507834	0.008272240390310482	2.484598139771469	-0.6647614594594594	-1.3392752200000002
chr21:0.0-9.4	6A	0.020353529560510997	0.008233973729914155	2.4718963441146657	-0.6247782702702702	-1.26685178
chr21:0.0-9.4	6B	0.02027432178784928	0.008251174407045302	2.4571437698054184	-0.6389193152173913	-1.26060983
chr21:0.0-9.4	6C	0.02045826431608956	0.008272343331200208	2.4730917827030443	-0.6167695891891892	-1.29060575
chr21:74.4-79.4	3K	0.02020263059909239	0.00878580717853426	2.299462097057177	-0.7006868800000001	-1.2575500199999998
chr21:74.4-79.4	3O	0.018252945984368642	0.008742539977642627	2.087831000035122	-0.4993219595959596	-1.0351493999999999
chr21:74.4-79.4	4R	0.019739863362420094	0.008682569288379589	2.273504847100864	-0.6433201616161617	-1.1539425600000002
chr21:74.4-79.4	4S	0.019468024147380577	0.008707141792051835	2.2358685102787264	-0.5037707070707071	-0.9832103299999999
chr21:74.4-79.4	4T	0.019724284140246084	0.008743182127394328	2.2559617142648247	-0.61884476	-1.1424032100000001
chr21:74.4-79.4	4W	0.019018302816122875	0.008785645192248564	2.164701897238284	-0.77640729	-1.3393301100000006
chr21:74.4-79.4	4X	0.020001889511917476	0.008786487839646568	2.2764373976214416	-0.69702752	-1.23833543
chr21:74.4-79.4	6A	0.019863242661944995	0.008700625165078801	2.2829672908642187	-0.6540625400000001	-1.16905468
chr21:74.4-79.4	6B	0.01972205807300232	0.008712942392394845	2.2635359198767184	-0.6619902424242423	-1.18693621
chr21:74.4-79.4	6C	0.01993644985066014	0.008660735497031774	2.3019349635481654	-0.63584696	-1.20331563
chr23:0.1-5.6	3K	0.040658141791242906	0.009168637633000236	4.434480172376321	-0.18729081981981985	-1.4630588556701034
chr23:0.1-5.6	3O	0.03665148111223933	0.00930316434181566	3.9396789915339934	-0.08146427027027026	-1.234235680412371
chr23:0.1-5.6	4R	0.03938712679464786	0.008984101295894432	4.384092019604348	-0.20218695495495498	-1.398812824742268
